tube,top,bottom,length,Na (ppb),NH4 (ppb),K (ppb),Mg (ppb),Ca (ppb),Cl (ppb),NO3 (ppb),SO4 (ppb)
2,15.84210526,15.86842105,0.026315789,0,0,0,0,0,166.34,46.21,0
2,15.86842105,15.89473684,0.026315789,0,0,0,0,0,118.85,41.28,0
2,15.89473684,15.92105263,0.026315789,0,0,0,0,0,71.77,38.28,0
2,15.92105263,15.94736842,0.026315789,0,0,0,0,0,29.42,50.29,0
2,15.94736842,15.97368421,0.026315789,0,0,0,0,0,53.3,43.38,0
2,15.97368421,16,0.026315789,0,0,0,0,0,40.28,55.24,0
2,16,16.03030303,0.03030303,20.04,20.04,6.63,0.83,13.11,30.64,55.62,19.63
2,16.03030303,16.06060606,0.03030303,9.71,9.71,3.56,0.24,10.6,21.22,47.66,15.72
2,16.06060606,16.09090909,0.03030303,8.27,8.27,3.15,0.14,6.55,19.74,45.23,13.35
2,16.09090909,16.12121212,0.03030303,29.12,29.12,2.4,2.87,5.26,45.07,37.45,17.14
2,16.12121212,16.15151515,0.03030303,62.08,62.08,2.46,6.23,4.72,84.94,33.53,27.56
2,16.15151515,16.18181818,0.03030303,25.88,25.88,1.55,2.92,3.1,40.21,40.33,18.3
2,16.18181818,16.21212121,0.03030303,22.44,22.44,1.61,2,2.65,33.85,41.31,21.02
2,16.21212121,16.24242424,0.03030303,10.5,10.5,1.02,0.68,3.78,17.83,48.27,26.81
2,16.24242424,16.27272727,0.03030303,97.56,97.56,3.7,10.45,6.67,135.6,31.56,67.59
2,16.27272727,16.3030303,0.03030303,96.92,96.92,5.18,11.41,5.37,161,22.1,39.44
2,16.3030303,16.33333333,0.03030303,93.51,93.51,7.38,15.9,14.47,156.01,23.56,34.12
2,16.33333333,16.36363636,0.03030303,220.58,220.58,7.43,13.84,11.02,317.43,19.01,30.56
2,16.36363636,16.39393939,0.03030303,99.46,99.46,5.44,17.54,12.47,161.62,17.05,19.78
2,16.39393939,16.42424242,0.03030303,82.11,82.11,19.59,12.37,18.51,122.98,25.02,26.04
2,16.42424242,16.45454545,0.03030303,55.85,55.85,4.88,7.41,9.37,86.17,14.99,16.86
2,16.45454545,16.48484848,0.03030303,60.91,60.91,3.07,4.78,6.1,89.5,13.26,16.4
2,16.48484848,16.51515152,0.03030303,40.68,40.68,2.16,5.88,3.89,60.34,18.21,23.43
2,16.51515152,16.54545455,0.03030303,20.53,20.53,1.63,2.73,2.71,31.54,29.59,24.88
2,16.54545455,16.57575758,0.03030303,24.54,24.54,1.96,2.23,5.11,40.85,35.42,31.95
2,16.57575758,16.60606061,0.03030303,122.18,122.18,5.55,12.26,7.47,188.93,22.54,62.92
2,16.60606061,16.63636364,0.03030303,54.53,54.53,2.73,8.77,4.57,102.39,24.37,28.99
2,16.63636364,16.66666667,0.03030303,33.01,33.01,1.79,5.16,4.67,63.28,32.72,17.74
2,16.66666667,16.6969697,0.03030303,48.72,48.72,3.42,5.03,6.68,65.65,33.86,28.91
